nombre,artista,cover,url,genero,dj,año,fecha_añadida
Sandstorm 2K24 (DJ Pavel Good),DJ Pavel,https://i1.sndcdn.com/artworks-rUd3gRtmYxJrerWH-ebBbfA-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/REMIX%2FEDM%2F127%20-%202A%20-%20Darude%20-%20Sandstorm%202K24%20(DJ%20Pavel%20Good%20Times%20Ahead%20Remix%20Intro%20Outro)%20127%20BPM.mp3?alt=media&token=8f9890b1-fb6c-48b8-9b17-5af38f6dcd6f,EDM,Dj Tavo,2014,
Give Me Everything,Pitbull,https://i1.sndcdn.com/artworks-Vl7IiZknhdjT6sq0-RmkzVw-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/music13-eba0b.appspot.com/o/Remix%20Pack%2FFuture%20House%2FPitbull%20ft.%20Ne-Yo%2C%20Afrojack%2C%20Nayer%20-%20Give%20Me%20Everything%20(ILYAA%20Remix)%20%5BEdmpacks.com%5D.mp3?alt=media&token=26c0c8f1-fd25-4ff1-a6c1-0a534d9a52ae,Pop,Dj Tavo,2014,
Post Malone Ft. David Guetta - I Had Some Help,,https://i1.sndcdn.com/artworks-2b1fe0Al1ovI-0-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/music13-eba0b.appspot.com/o/Remix%20Pack%2FFuture%20House%2FPost%20Malone%20Ft.%20Morgan%20Wallen%20Vs.%20Flo%20Rida%20Ft.%20David%20Guetta%20Vs.%20Jack%20Wins%20X%20Sqwad%20-%20I%20Had%20Some%20Help%20(Pat%20C's%20'Club%20Can't%20Handle%20Us'%20Edit)%20(Intro%20Clean)%20128%20%5BEdmpacks.com%5D.mp3?alt=media&token=a9455d45-d22e-4a26-9e55-9043a12106b1,Future House,DJ GIAN,2020,01/01/2024
Stay X Attention X Breakaway (N1ckX Mashup),,https://i1.sndcdn.com/artworks-xCDhyfz2Qn24C9gG-CNZFzw-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/music13-eba0b.appspot.com/o/Remix%20Pack%2FStay%20X%20Attention%20X%20Breakaway%20(N1ckX%20Mashup).mp3?alt=media&token=151994c4-4ec9-48f9-8e11-74917e029154,Big Room,,,
Poker Face (JP & T-MO Edit) (Short Edit),,https://i1.sndcdn.com/artworks-mUymFuaGFY1wCqLT-kLJdDQ-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/music13-eba0b.appspot.com/o/Remix%20Pack%2FPoker%20Face%20(JP%20%26%20T-MO%20Edit)%20(Short%20Edit)%20%5BEdmpacks.com%5D.mp3?alt=media&token=52658975-907a-4415-9843-fd8ed2c61aec,Big Room,,,
Dimitri Vangelis & Wyman & Envyro vs. Jaymes Young - Infinity Freedom,,https://geo-media.beatport.com/image_size/1400x1400/d1eaea98-6375-4949-81df-41d07b7295b8.jpg,https://firebasestorage.googleapis.com/v0/b/music13-eba0b.appspot.com/o/Remix%20Pack%2FDimitri%20Vangelis%20%26%20Wyman%20%26%20Envyro%20vs.%20Jaymes%20Young%20-%20Infinity%20Freedom%20(B-Rather%20%26%20Fuerte%20Mashup)%20%5BEdmpacks.com%5D.mp3?alt=media&token=89ae9c0b-5e39-493b-aedb-b857105f2611,Big Room,Dj Tavo,2014,
Mix Rolling In The Deep,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream3.mixcloud.com/secure/c/m4a/64/4/4/3/2/b1e7-680d-4047-b432-37ef36b8ba15.m4a?sig=WtMmUGyVggXEhiD1PE60sg,Pop,Dj Tavo,2014,
Mix Nothin' On You,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream6.mixcloud.com/secure/c/m4a/64/d/b/f/0/be70-8b84-4071-9473-cace0ad58a64.m4a?sig=TbUMxGP8WXp5Dt_LAwKmfA,Pop,Dj Tavo,2014,
Mix It Girl ,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream11.mixcloud.com/secure/c/m4a/64/d/3/9/7/a7d5-a191-4f56-855b-874dd8c0fb04.m4a?sig=ydh4ZanhWtgf1SY7Nzb_iQ,Pop,Dj Tavo,2014,
Mix Whats My Name,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream1.mixcloud.com/secure/c/m4a/64/0/2/d/d/f1d3-52dc-4ec8-8c49-994f9b124af7.m4a?sig=rAoNr22JMlahDBxRgSrYhQ,Pop,Dj Tavo,2014,
Mix If I Catch You,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream18.mixcloud.com/secure/c/m4a/64/c/6/1/c/c12e-e475-441c-a760-58573e1ab806.m4a?sig=rqDTJ7unZvVxaP4rrlayYg,Pop,Dj Tavo,2014,
Mix Poker Face,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream17.mixcloud.com/secure/c/m4a/64/9/c/f/f/930f-07fe-4069-b597-395de8b7c9a2.m4a?sig=3OaNH-gE5p1RFN86DTScgg,Pop,Dj Tavo,2014,
Mix Just Dance ,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream2.mixcloud.com/secure/c/m4a/64/2/e/b/4/b865-5c60-45d7-ad7d-5a85e515b316.m4a?sig=RppXcA0MifiMb4TwpjF6tQ,Pop,Dj Tavo,2014,
Mix Boombastic,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream5.mixcloud.com/secure/c/m4a/64/7/8/e/e/8e3f-d869-49f7-b749-8cc8746d13ad.m4a?sig=I7GERgu3SadVfc1FPM2jYg,Pop,Dj Tavo,2014,
