title,url,image
COLLEM -  Cuál Es El Significado De La Vida,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/TOP%20RANKING%2FCOLLEM%20-%20%20Cu%C3%A1l%20Es%20El%20Significado%20De%20La%20Vida%20%20(Extended%20Mix).mp3?alt=media&token=e1ab5c7a-a555-45de-ace2-510fbf065551,https://i1.sndcdn.com/artworks-FDR4NYy0VdIEKrCt-t0dVGg-t500x500.jpg
Crazy Frog - A Ring Ding Ding Ding,https://www.dropbox.com/scl/fi/7i4d0yhs9xwqynegcnczj/Crazy-Frog-A-Ring-Ding-Ding-Ding.mp3?rlkey=3d2zd33ft9zw6z5vj99wwyci6&st=1bvy7kem&dl=1,https://i1.sndcdn.com/artworks-LCw3L1Spsi62-0-t500x500.jpg
Aliveness - Bemac,https://www.dropbox.com/scl/fi/cv8wjd109x360zev0dfy1/Bemac-Aliveness.mp3?rlkey=e1m92wepaycokypekl3gocqf1&st=xllp081q&dl=1,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d5/a9/d2/d5a9d243-7fd6-0e67-ec06-92d43b73b5cf/cover.jpg/800x800cc.jpg
Hot Since 82 featuring Ron Carroll - Preach,https://www.dropbox.com/scl/fi/03fao4zjnpfaze28obsuq/Hot-Since-82-Preach-feat.-Ron-Carroll.mp3?rlkey=k0vcho9nzdsx0jj06wmrzrofe&st=9asne8u0&dl=1,https://i1.sndcdn.com/artworks-iNDFenVRaEryextQ-jDqZQA-t500x500.jpg
La Bebe (David Guetta Remix),https://dl.dropboxusercontent.com/scl/fi/uxokv9ygb5evabim4eppb/138_-_La_Bebe_David_Guetta_Remix.mp3?rlkey=qysfjdsde31j320u69j01hnc1&dl=1,https://i1.sndcdn.com/artworks-SYMzgdpX0Dej-0-t500x500.jpg
Ana Mena - Madrid City,https://dl.dropboxusercontent.com/scl/fi/2d7i6egwj03tfc8e3widx/Ana-Mena-Madrid-City.mp3?rlkey=lgie3ez7icupc5a73ryl8oywp&dl=1,https://i1.sndcdn.com/artworks-fra0JXxZD8DN-0-t500x500.jpg
Dennis Lloyd - Alien,https://dl.dropboxusercontent.com/scl/fi/hkk4of9rls704i5ng02q5/Dennis-Lloyd-Alien.mp3?rlkey=1lt000ttyijxgdw02y0oz6es5&dl=1,https://i1.sndcdn.com/artworks-xQIWyZDO5uiA-0-t500x500.jpg
did i tell u that i miss u,https://www.dropbox.com/scl/fi/ygd9ojyce99xe1vnzxcce/Adore-did-i-tell-u-that-i-miss-u.mp3?rlkey=gs3j4uz318fdurpgdscrej3u0&st=d2frgwph&dl=1,https://i1.sndcdn.com/artworks-g6fViuM30nFQoUA3-Pjrzwg-t500x500.jpg
Kevin de Vries & Mau P - Metro,https://www.dropbox.com/scl/fi/0cfbxh2a6tgba9txkt0zs/Kevin-de-Vries-Metro.flac?rlkey=srca4oha7dablpdue1428615m&st=k3jlfkl4&dl=1,https://i1.sndcdn.com/artworks-23FlYIM1q22N8vQq-iUtnRw-t500x500.jpg
Teddy Swims - Lose Control (Tiësto Remix),https://www.dropbox.com/scl/fi/bxzimvfbjj5qftsoeu7x5/Teddy-Swims-Lose-Control-Ti-sto-Remix.mp3?rlkey=kuyngieg2vg38n1i9d86xazus&st=4nholh5h&dl=1,https://i1.sndcdn.com/artworks-QYhiRtDt5hT7-0-t1080x1080.jpg
Campbell Would You go to bed with me,https://www.dropbox.com/scl/fi/skmke8ju0blo7a3i106jy/Campbell_Would_You_go_to_bed_with_me_feat_Caity_Baser.mp3?rlkey=5ka1a66yhmw5dkv25y788dd8o&st=bz88u2y6&dl=1,https://m.media-amazon.com/images/I/61AyXVbz2aL._UXNaN_FMjpg_QL85_.jpg
RÜFÜS DU SOL - Innerbloom (Radio Edit),https://www.dropbox.com/scl/fi/4wpxt2mfprsgus9vkvjmh/R-F-S-DU-SOL-Innerbloom-Radio-Edit.mp3?rlkey=0hv9i4juy6e9zmvi78ofvn0c2&st=73i0ykje&dl=1,https://i1.sndcdn.com/artworks-oyOxyWPEKV9roW77-xS0TNQ-t1080x1080.jpg
Milky Chance - Down By The River /// FlicFlac Edit,https://www.dropbox.com/scl/fi/31xcjpvmwb0z6h7uogqwd/Milky-Chance-Down-By-The-River-FlicFlac-Edit-320.mp3?rlkey=lva2hb4qlq8m1hve0elovet50&st=thfvmbp9&dl=1,https://i1.sndcdn.com/artworks-000147428579-rqidkn-t500x500.jpg
Sander Van Doorn - Ori Tali Ma (LVNDSCAPE Remix),https://www.dropbox.com/scl/fi/pcfzltkcjwgc91ndkka1x/Sander-van-doorn-Ori-tali-ma-LVNDSCAPE-Remix.mp3?rlkey=d9h3k0c0yfoqblclrr9u7413z&st=2vvlklvn&dl=1,https://i1.sndcdn.com/artworks-000127569843-kegcbw-t1080x1080.jpg
Tomorrowland Mix (Dimitri Vegas & Like,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MUSICA%20MIX%2F03%20Tomorrowland%20(Dimitri%20Vegas%20%26%20Lik.mp3?alt=media&token=bae5b124-a4c0-4e0b-8eda-6faae641c5dc,https://i1.sndcdn.com/artworks-6tvjWUO4kqf7qz1K-J6hyHg-t500x500.jpg
dd,dd,dd
